22:08:51 INFO  : Registering command handlers for SDK TCF services
22:08:52 INFO  : Launching XSCT server: xsct.bat -interactive C:\SOC_Final_Project_Snake_Game\SnakeGame\SnakeGame.sdk\temp_xsdb_launch_script.tcl
22:08:55 INFO  : XSCT server has started successfully.
22:08:55 INFO  : Successfully done setting XSCT server connection channel  
22:08:56 INFO  : Successfully done setting SDK workspace  
22:08:56 INFO  : Processing command line option -hwspec C:/SOC_Final_Project_Snake_Game/SnakeGame/SnakeGame.sdk/SnakeGame_BD_wrapper.hdf.
22:32:22 WARN  : Given IPC port value is invalid. Using default port 2350
22:32:22 WARN  : Given XMD timeout value is invalid. Using default value of 50000
22:32:25 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:25 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:28 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:28 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 INFO  : System reset is completed.
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:36 INFO  : FPGA configured successfully with bitstream "C:/SOC_Final_Project_Snake_Game/SnakeGame/SnakeGame.sdk/SnakeGame_BD_wrapper_hw_platform_0/SnakeGame_BD_wrapper.bit"
22:32:36 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:36 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:36 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:36 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:36 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:37 INFO  : ps7_init is completed.
22:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:37 INFO  : ps7_post_config is completed.
22:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:32:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:42 INFO  : ps7_cortexa9_0 Processor is in use. Please stop existing Run or Debug sessions before launching.
23:05:44 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:44 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:44 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:44 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:44 INFO  : System reset is completed.
